RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31
102001,0,United States,country,,0.9827586206896551,0.9846153846153847,0.9882352941176471,0.9909700430766271,0.9931972789115646,0.9939024390243902,0.9916990146312332,0.9888579387186629,0.987105380168964,0.9853687667960586,0.9842243509062892,0.9826292942482202,0.9812527597734827,0.9835294117647059,0.9861111111111112,0.9886053126817579,0.9906976744186047,0.9913793103448276,0.9903846153846154,0.9888320148906468,0.9874921826141339,0.9866592551417455,0.9860694434754297,0.984821743734557,0.9829787234042553,0.9858969784604984,0.9901960784313726,0.9936102236421726,0.9914204003813155,0.9933283914010378,0.9977167305932315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0040816326530613,1.0106933425319076,1.0081541882876204,1.0005002501250626,1.0,1.0,1.0,1.0,1.0,1.0,1.005952380952381,1.0154241645244215,1.0161001788908766,1.0093023255813953,1.0,1.0,1.0,0.9977324263038548,0.9914529914529915,0.9871244635193133,0.9845916795069337,0.9883040935672515,0.9979319460412355,1.0,1.0
394913,1,"New York, NY",msa,NY,0.9781021897810219,0.9772077922077922,0.9791666666666666,0.9795748228428511,0.9805194805194806,0.9849462365591398,0.9846153846153847,0.9838922345579544,0.9818181818181818,0.979381443298969,0.9784972215510993,0.9782608695652174,0.975609756097561,0.9755495183996048,0.9764305722288915,0.9784308955480576,0.9807692307692307,0.9828223526853663,0.9820519703640074,0.9819277108433735,0.98,0.9788206869131725,0.9787112444634948,0.9790209790209791,0.9777365491651205,0.9764705882352941,0.9799634221334328,0.9840174165457185,0.9822804314329738,0.9823182711198428,0.9877348451641574,0.993322203672788,1.0,1.0,1.0,1.0,1.0,0.9945472628132052,0.9959245787554913,1.0,1.0,1.000250062515629,1.0020555527387653,1.001890359168242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0042735042735043,1.0148849797023005,1.0197204211359925,1.0150375939849625,1.005392912172573,1.0,1.0,1.0,1.0,0.9903445336742711,0.989247311827957,0.9998714267346677,1.0,1.00000250000625
753899,2,"Los Angeles, CA",msa,CA,0.997291806476928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9976624689382134,0.9941107184923439,0.9924385633270322,0.9914893617021276,0.9885386819484241,0.9910812436533132,0.9920127795527156,0.9948186528497409,0.9967186218211649,0.9976857651048606,0.99581589958159,0.9959953277710287,0.9949986838641748,0.9945481695241829,0.9966607295250385,0.9945377492476333,0.993431855500821,1.0,1.0,1.0,1.0,0.9991378535079329,1.0,1.0,1.0,1.0000142859183703,1.0002632271650433,1.000217438573603,1.000111123458162,1.0014306151645207,1.0125523012552302,1.0212787686782312,1.0262828535669588,1.0300302879502459,1.0304510406073832,1.0237676056338028,1.0177975528364849,1.0172104376144406,1.0175456448169207,1.0185979971387698,1.018181818181818,1.032419826937418,1.0460355753242783,1.0507004669779854,1.0416675347229456,1.0260173448965977,1.0061919504643964,1.0,1.0,0.9987860394537178,0.9932659932659933,0.9903381642512077,0.987165282522757,0.9934318061291232,1.0,1.0,1.0023949529222023
394463,3,"Chicago, IL",msa,IL,0.9713553927902605,0.9733036707452726,0.9771986970684039,0.9799663767432591,0.981651376146789,0.9816632709761067,0.9808612440191388,0.9788359788359788,0.9770612881174657,0.9761904761904762,0.9739519106019097,0.9724152298850575,0.9714285714285714,0.9741969457609269,0.9777777777777777,0.9795918367346939,0.9809478447249345,0.9809523809523809,0.9797579737720206,0.9790209790209791,0.9782130232657265,0.9766739889602343,0.9761928576191429,0.9735598393657074,0.9725544681227822,0.9741969457609269,0.9789029535864979,0.9804878048780488,0.9781400518710633,0.980416127331128,0.9836612204068023,0.9844395046046364,0.9857142857142858,0.9862068965517241,0.9858298887159109,0.9855072463768116,0.984188447886415,0.9841534612176814,0.9913978494623656,1.0,1.0,1.0002326122354035,1.0,1.0,1.0,1.0,0.9964200477326969,0.99581589958159,0.9890909090909091,1.0,1.0,1.0008340283569641,1.0073746312684366,1.0062512578140723,1.0001905124785673,1.0,0.9960939199876948,0.9899749373433584,0.9871794871794872,0.983739837398374,0.9820697919102175,0.9866688592690042,1.0,1.0,1.0
394514,4,"Dallas, TX",msa,TX,0.9874213836477987,0.9919234677762672,0.9959005192675594,1.0,1.0,1.0,0.9969843483181262,0.9916631929970822,0.9900990099009901,0.9882005899705014,0.9875086407144932,0.9855287250779945,0.9838713813068651,0.9867531765341985,0.9895833333333334,0.9915254237288136,0.9914660482991702,0.9906759906759907,0.9907763204537399,0.988816392895856,0.9868421052631579,0.987439924283394,0.9875,0.9861111111111112,0.9856235388650045,0.9871244635193133,0.9906629236992607,0.9931427765354957,0.9920318725099602,0.9941581409407916,0.9967553240640561,0.9973521895233057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.015625,1.0260869565217392,1.0317460317460319,1.0277777777777777,1.0196078431372548,1.0089285714285714,1.0036789297658864,1.0028039152645305,1.0026802710149494,1.003790038061604,1.0181221077772802,1.0408163265306123,1.0512867149826044,1.047844753406955,1.0307692307692307,1.0081054365947693,1.0,0.9973839741196964,0.9916666666666667,0.9874671009436351,0.9846406318110721,0.9818181818181818,0.9861111111111112,0.995955407240189,1.0,1.0
394692,5,"Houston, TX",msa,TX,0.9757785467128027,0.9769713886950454,0.9785011050833836,0.9818181818181818,0.981830916885854,0.9822646657571623,0.9815059438591993,0.9813084112149533,0.9790949986768986,0.9784615384615385,0.9782608695652174,0.9777777777777777,0.9764258892616913,0.9787234042553191,0.9795748228428511,0.9815281477661566,0.9832540877720901,0.9831755860238832,0.9833333333333333,0.981103552532124,0.98,0.979765708200213,0.9810006256918709,0.9794574649959964,0.9777777777777777,0.979757085020243,0.9827317689733424,0.9846184142105052,0.9830976198689203,0.984375,0.9859154929577465,0.9865470852017937,0.9869298479594558,0.9875241519965651,0.9878542510121457,0.9866920606027236,0.986783884489986,0.989738865153448,0.9969304054230901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002710027100271,1.0072463768115942,1.000250062515629,1.0,1.0,0.9888611047965447,0.9861294298921418,0.9830976198689203,0.9809523809523809,0.9792047504350184,0.9817138735903488,0.9852636505268084,0.992,0.9924663648430834
395209,6,"Washington, DC",msa,VA,0.9934524957671618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980059731263742,0.9942734401580645,0.9935483870967742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982456140350877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0001365517305927,1.011111111111111,1.0176991150442478,1.0235294117647058,1.0187655031892275,1.0102283223867192,1.0002222716159146,1.0,1.0,1.0,1.0,1.0,1.0076678098971092,1.0210631124898302,1.027027027027027,1.023076923076923,1.0093258296672634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0004085002070857,1.0082536983054249
394974,7,"Philadelphia, PA",msa,PA,0.9793838435771272,0.9807874830412824,0.9848438920885116,0.9863649284664295,0.9905273612752712,0.9912417883204537,0.988821883395096,0.9867125527255763,0.985342395741081,0.9833971902937421,0.9819639278557114,0.9817351598173516,0.9800835073068894,0.98,0.9844395046046364,0.9883305548940224,0.9919167006941609,0.9931918051230673,0.9918256130790191,0.988357004715005,0.9862227143309079,0.9865470852017937,0.986737400530504,0.9846153846153847,0.9803570802202812,0.9843780761911012,0.9904761904761905,0.9949972206781545,0.9923260121725325,0.9949832775919732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0006253908692933,1.01,1.0092883695555641,1.0004653327128896,1.0,1.0,1.0,1.0,1.0,1.0,1.0002140046100274,1.0170056685561855,1.0212765957446808,1.0201182603241572,1.0078947368421052,1.0000003571431122,1.0,1.0,1.0,1.0,0.9948554264239968,1.0,1.0,1.0,1.0
394856,8,"Miami, FL",msa,FL,0.9628942486085343,0.9651847443912076,0.9660697153821554,0.9666666666666667,0.9673115410273516,0.968,0.9672272470322216,0.96875,0.9698246298661368,0.967741935483871,0.9673786358568968,0.9664292980671414,0.9641603076642447,0.9655172413793104,0.9669021941242097,0.9666747223564838,0.9681093394077449,0.9689616321931984,0.9692506720666003,0.9692307692307692,0.9673877237936976,0.9703792628162375,0.9688581314878892,0.967741935483871,0.9666666666666667,0.967741935483871,0.9693575894404756,0.9710144927536232,0.9662429112193676,0.9692307692307692,0.9719512195121951,0.9718252347897101,0.9720670391061452,0.9728692792545903,0.9736842105263158,0.971567366766681,0.972972972972973,0.9726027397260274,0.9752986852604703,0.9781389323825513,0.9817351598173516,0.9876543209876543,0.9908813747228382,0.9902475618904726,0.9899944382647385,0.9876543209876543,0.9879518072289156,0.9899860910193297,0.9883837255832566,0.9989389116264968,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,0.9826086956521739,0.9785202863961814,0.9733713200379868,0.9727272727272728,0.9690225385355404,0.9715994020926756,0.9736842105263158,0.9736842105263158,0.9743589743589743
394347,9,"Atlanta, GA",msa,GA,0.9828510160318595,0.9870043261173638,0.9899749373433584,0.9949319818618299,0.9973017274727559,0.9947397857058754,0.9942528735632183,0.9904761904761905,0.989703972649935,0.9879031833439371,0.9866220735785953,0.9859719438877755,0.9851851851851852,0.9869545073130612,0.9897341405633061,0.9912189322668539,0.9928571428571429,0.991997332444148,0.9922895521697916,0.9901980396079216,0.989135205191953,0.9879567258624209,0.9883472514540476,0.9876543209876543,0.9848155467720685,0.9890909090909091,0.9922630271467481,0.9970571706538882,0.9952380952380953,0.994088669950739,0.9975863280923836,0.9983481817115312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0032258064516129,1.0097498436522827,1.0127531882970742,1.0126582278481013,1.008,1.0005002501250626,1.0000250006250155,1.0000442327256782,1.0002381519409382,1.0,1.0067340830763651,1.0152538134533633,1.024390243902439,1.0256410256410255,1.0169491525423728,1.0011001104555444,1.0,1.0,1.0,0.9917355371900827,0.989247311827957,0.9879988360369999,0.9936576742512054,1.0,1.0,1.0
